单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2.286,2.425,-4.31,开放申购,开放赎回,nan
2.36,2.499,3.24,开放申购,开放赎回,nan
2.421,2.56,2.58,开放申购,开放赎回,nan
2.498,2.637,3.18,开放申购,开放赎回,nan
2.463,2.602,-1.4,开放申购,开放赎回,nan
2.474,2.613,0.45,开放申购,开放赎回,nan
2.479,2.618,0.2,开放申购,开放赎回,nan
2.518,2.657,1.57,开放申购,开放赎回,nan
2.493,2.632,-0.99,开放申购,开放赎回,nan
2.508,2.647,0.6,开放申购,开放赎回,nan
2.574,2.713,2.63,开放申购,开放赎回,nan
2.576,2.715,0.08,开放申购,开放赎回,nan
2.543,2.682,-1.28,开放申购,开放赎回,nan
2.573,2.712,1.18,开放申购,开放赎回,nan
2.602,2.741,1.13,开放申购,开放赎回,nan
2.633,2.772,1.19,开放申购,开放赎回,nan
2.645,2.784,0.46,开放申购,开放赎回,nan
2.577,2.716,-2.57,开放申购,开放赎回,nan
2.612,2.751,1.36,开放申购,开放赎回,nan
2.537,2.676,-2.87,开放申购,开放赎回,nan
2.607,2.746,2.76,开放申购,开放赎回,nan
2.706,2.845,3.8,开放申购,开放赎回,nan
2.694,2.833,-0.44,开放申购,开放赎回,nan
2.742,2.881,1.78,开放申购,开放赎回,nan
2.752,2.891,0.36,开放申购,开放赎回,nan
2.684,2.823,-2.47,开放申购,开放赎回,nan
2.687,2.826,0.11,开放申购,开放赎回,nan
2.647,2.786,-1.49,开放申购,开放赎回,nan
2.574,2.713,-2.76,开放申购,开放赎回,nan
2.548,2.687,-1.01,开放申购,开放赎回,nan
2.448,2.587,-3.92,开放申购,开放赎回,nan
2.454,2.593,0.25,开放申购,开放赎回,nan
2.431,2.57,-0.94,开放申购,开放赎回,nan
2.406,2.545,-1.03,开放申购,开放赎回,nan
2.465,2.604,2.45,开放申购,开放赎回,nan
2.426,2.565,-1.58,开放申购,开放赎回,nan
2.488,2.627,2.56,开放申购,开放赎回,nan
2.566,2.705,3.14,开放申购,开放赎回,nan
2.619,2.758,2.07,开放申购,开放赎回,nan
2.617,2.756,-0.08,开放申购,开放赎回,nan
2.589,2.728,-1.07,开放申购,开放赎回,nan
2.616,2.755,1.04,开放申购,开放赎回,nan
2.566,2.705,-1.91,开放申购,开放赎回,nan
2.604,2.743,1.48,开放申购,开放赎回,nan
2.63,2.769,1.0,开放申购,开放赎回,nan
2.694,2.833,2.43,开放申购,开放赎回,nan
2.678,2.817,-0.59,开放申购,开放赎回,nan
2.753,2.892,2.8,开放申购,开放赎回,nan
2.709,2.848,-1.6,开放申购,开放赎回,nan
2.73,2.869,0.78,开放申购,开放赎回,nan
2.8,2.939,2.56,开放申购,开放赎回,nan
2.808,2.947,0.29,开放申购,开放赎回,nan
2.862,3.001,1.92,开放申购,开放赎回,nan
2.826,2.965,-1.26,开放申购,开放赎回,nan
2.9,3.039,2.62,开放申购,开放赎回,nan
2.879,3.018,-0.72,开放申购,开放赎回,nan
2.914,3.053,1.22,开放申购,开放赎回,nan
2.951,3.09,1.27,开放申购,开放赎回,nan
2.881,3.02,-2.37,开放申购,开放赎回,nan
2.942,3.081,2.12,开放申购,开放赎回,nan
2.96,3.099,0.61,开放申购,开放赎回,nan
2.926,3.065,-1.15,开放申购,开放赎回,nan
2.877,3.016,-1.67,开放申购,开放赎回,nan
2.925,3.064,1.67,开放申购,开放赎回,nan
2.921,3.06,-0.14,开放申购,开放赎回,nan
2.941,3.08,0.68,开放申购,开放赎回,nan
2.929,3.068,-0.41,开放申购,开放赎回,nan
2.988,3.127,2.01,开放申购,开放赎回,nan
3.054,3.193,2.21,开放申购,开放赎回,nan
3.035,3.174,-0.62,开放申购,开放赎回,nan
3.036,3.175,0.03,开放申购,开放赎回,nan
3.083,3.222,1.55,开放申购,开放赎回,nan
3.117,3.256,1.1,开放申购,开放赎回,nan
3.084,3.223,-1.06,开放申购,开放赎回,nan
3.123,3.262,1.26,开放申购,开放赎回,nan
3.049,3.188,-2.37,开放申购,开放赎回,nan
3.093,3.232,1.44,开放申购,开放赎回,nan
3.183,3.322,2.91,开放申购,开放赎回,nan
3.113,3.252,-2.2,开放申购,开放赎回,nan
3.082,3.221,-1.0,开放申购,开放赎回,nan
3.148,3.287,2.14,开放申购,开放赎回,nan
3.216,3.355,2.16,开放申购,开放赎回,nan
